symbol,trading_symbol,display_name
ADANIENT,ADANIENT,Adani Enterprises Limited
ASIANPAINT,ASIANPAINT,Asian Paints Limited
AXISBANK,AXISBANK,Axis Bank Limited
BAJAJ-AUTO,BAJAJ-AUTO,Bajaj Auto Limited
BAJFINANCE,BAJFINANCE,Bajaj Finance Limited
BHARTIARTL,BHARTIARTL,Bharti Airtel Limited
BPCL,BPCL,Bharat Petroleum Corporation Limited
BRITANNIA,BRITANNIA,Britannia Industries Limited
CIPLA,CIPLA,Cipla Limited
COALINDIA,COALINDIA,Coal India Limited
DIVISLAB,DIVISLAB,Divi's Laboratories Limited
DRREDDY,DRREDDY,Dr. Reddy's Laboratories Limited
EICHERMOT,EICHERMOT,Eicher Motors Limited
GAIL,GAIL,GAIL (India) Limited
GRASIM,GRASIM,Grasim Industries Limited
HCLTECH,HCLTECH,HCL Technologies Limited
HDFC,HDFC,HDFC Bank Limited (HDFC Ltd placeholder)
HDFCBANK,HDFCBANK,HDFC Bank Limited
HDFCLIFE,HDFCLIFE,HDFC Life Insurance Company Limited
HINDALCO,HINDALCO,Hindalco Industries Limited
HINDUNILVR,HINDUNILVR,Hindustan Unilever Limited
ICICIBANK,ICICIBANK,ICICI Bank Limited
INDUSINDBK,INDUSINDBK,IndusInd Bank Limited
INFY,INFY,Infosys Limited
ITC,ITC,ITC Limited
JSWSTEEL,JSWSTEEL,JSW Steel Limited
KOTAKBANK,KOTAKBANK,Kotak Mahindra Bank Limited
LT,LT,Larsen & Toubro Limited
M&M,M&M,Mahindra & Mahindra Limited
MARUTI,MARUTI,Maruti Suzuki India Limited
NESTLEIND,NESTLEIND,Nestle India Limited
NTPC,NTPC,NTPC Limited
ONGC,ONGC,Oil and Natural Gas Corporation Limited
POWERGRID,POWERGRID,Power Grid Corporation of India Limited
RELIANCE,RELIANCE,Reliance Industries Limited
SBILIFE,SBILIFE,SBI Life Insurance Company Limited
SBIN,SBIN,State Bank of India
SUNPHARMA,SUNPHARMA,Sun Pharmaceutical Industries Limited
TATACONSUM,TATACONSUM,Tata Consumer Products Limited
TATAMOTORS,TATAMOTORS,Tata Motors Limited
TATASTEEL,TATASTEEL,Tata Steel Limited
TCS,TCS,Tata Consultancy Services Limited
TECHM,TECHM,Tech Mahindra Limited
TITAN,TITAN,Titan Company Limited
ULTRACEMCO,ULTRACEMCO,UltraTech Cement Limited
UPL,UPL,UPL Limited
WIPRO,WIPRO,Wipro Limited
ADANIPORTS,ADANIPORTS,Adani Ports and Special Economic Zone Limited
